RE-100 DD-87
RE-101 DD-554
RE-103 DD-553
RE-114 DD-684
RE-25 DD-572
RE-25 DD-573
RE-28 DD-556
RE-28 DD-557
RE-36 DD-583
RE-424 DD-520
RE-501 DD-502
RE-501 DD-75
RE-505 DD-506
RE-505 DD-507
RE-508 DD-509
RE-510 DD-511
RE-510 DD-512
RE-510 DD-513
RE-510 DD-514
RE-510 DD-515
RE-516 DD-518
RE-541 DD-542
RE-541 DD-543
RE-541 DD-544
RE-545 DD-546
RE-547 DD-548
RE-549 DD-550
RE-551 DD-552
RE-555 DD-81
RE-574 DD-575
RE-576 DD-577
RE-587 DD-588
RE-589 DD-590
RE-594 DD-599
RE-594 DD-605
RE-595 DD-600
RE-595 DD-601
RE-595 DD-606
RE-595 DD-607
RE-596 DD-602
RE-596 DD-608
RE-597 DD-603
RE-597 DD-609
RE-611 DD-104
RE-611 DD-612
RE-611 DD-613
RE-611 DD-614
RE-611 DD-615
RE-616 DD-213
RE-616 DD-617
RE-616 DD-618
RE-616 DD-619
RE-626 DD-627
RE-628 DD-629
RE-630 DD-631
RE-630 DD-632
RE-630 DD-633
RE-630 DD-764
RE-634 DD-635
RE-634 DD-636
RE-637 DD-638
RE-639 DD-640
RE-643 DD-117
RE-643 DD-118
RE-643 DD-119
RE-646 DD-647
RE-646 DD-648
RE-649 DD-352
RE-649 DD-650
RE-656 DD-657
RE-656 DD-658
RE-672 DD-673
RE-672 DD-674
RE-672 DD-675
RE-677 DD-678
RE-679 DD-168
RE-681 DD-113
RE-681 DD-682
RE-681 DD-683
RE-689 DD-229
RE-689 DD-690
RE-691 DD-692
RE-691 DD-694
RE-693 DD-694
RE-695 DD-696
RE-695 DD-697
RE-701 DD-445
RE-706 DD-707
RE-709 DD-354
RE-709 DD-710
RE-709 DD-711
RE-709 DD-712
RE-709 DD-713
RE-714 DD-361
RE-714 DD-715
RE-714 DD-716
RE-722 DD-723
RE-722 DD-724
RE-722 DD-763
RE-729 DD-727
RE-729 DD-728
RE-729 DD-730
RE-729 DD-731
RE-729 DD-732
RE-729 DD-733
RE-729 DD-734
RE-729 DD-735
RE-729 DD-768
RE-759 DD-362
RE-759 DD-468
RE-759 DD-498
RE-759 DD-536
RE-759 DD-537
RE-759 DD-538
RE-759 DD-540
RE-766 DD-439
RE-77 DD-177
RE-77 DD-23
RE-77 DD-24
RE-8 DD-26
RE-8 DD-30
RE-8 DD-31
RE-8 DD-32
RE-8 DD-33
RE-8 DD-500
RE-8 DD-578
RE-8 DD-579
RE-8 DD-580
RE-80 DD-527
RE-80 DD-528
RE-80 DD-529
RE-80 DD-530
