Approach,Recall,Precision
IR-ONLY-VSM,0.05,0.3125
IR-ONLY-VSM,0.10,0.2895
IR-ONLY-VSM,0.15,0.2418
IR-ONLY-VSM,0.20,0.2176
IR-ONLY-VSM,0.25,0.1124
IR-ONLY-VSM,0.30,0.1124
IR-ONLY-VSM,0.35,0.0969
IR-ONLY-VSM,0.40,0.0767
IR-ONLY-VSM,0.45,0.0767
IR-ONLY-VSM,0.50,0.0767
IR-ONLY-VSM,0.55,0.0767
IR-ONLY-VSM,0.60,0.0622
IR-ONLY-VSM,0.65,0.0503
IR-ONLY-VSM,0.70,0.0477
IR-ONLY-VSM,0.75,0.0455
IR-ONLY-VSM,0.80,0.0455
IR-ONLY-VSM,0.85,0.0455
IR-ONLY-VSM,0.90,0.0455
IR-ONLY-VSM,0.95,0.0410
IR-ONLY-VSM,1.00,0.0374
TRIAD-VSM,0.05,0.2736
TRIAD-VSM,0.10,0.2488
TRIAD-VSM,0.15,0.2269
TRIAD-VSM,0.20,0.1752
TRIAD-VSM,0.25,0.1547
TRIAD-VSM,0.30,0.1051
TRIAD-VSM,0.35,0.1051
TRIAD-VSM,0.40,0.0764
TRIAD-VSM,0.45,0.0764
TRIAD-VSM,0.50,0.0764
TRIAD-VSM,0.55,0.0764
TRIAD-VSM,0.60,0.0764
TRIAD-VSM,0.65,0.0512
TRIAD-VSM,0.70,0.0512
TRIAD-VSM,0.75,0.0472
TRIAD-VSM,0.80,0.0457
TRIAD-VSM,0.85,0.0457
TRIAD-VSM,0.90,0.0457
TRIAD-VSM,0.95,0.0412
TRIAD-VSM,1.00,0.0372
IR-ONLY-LSI,0.05,0.2246
IR-ONLY-LSI,0.10,0.2246
IR-ONLY-LSI,0.15,0.2243
IR-ONLY-LSI,0.20,0.1471
IR-ONLY-LSI,0.25,0.1162
IR-ONLY-LSI,0.30,0.0867
IR-ONLY-LSI,0.35,0.0755
IR-ONLY-LSI,0.40,0.0642
IR-ONLY-LSI,0.45,0.0580
IR-ONLY-LSI,0.50,0.0578
IR-ONLY-LSI,0.55,0.0554
IR-ONLY-LSI,0.60,0.0523
IR-ONLY-LSI,0.65,0.0513
IR-ONLY-LSI,0.70,0.0481
IR-ONLY-LSI,0.75,0.0446
IR-ONLY-LSI,0.80,0.0411
IR-ONLY-LSI,0.85,0.0389
IR-ONLY-LSI,0.90,0.0380
IR-ONLY-LSI,0.95,0.0379
IR-ONLY-LSI,1.00,0.0370
TRIAD-LSI,0.05,0.2218
TRIAD-LSI,0.10,0.2218
TRIAD-LSI,0.15,0.2210
TRIAD-LSI,0.20,0.1473
TRIAD-LSI,0.25,0.1148
TRIAD-LSI,0.30,0.1009
TRIAD-LSI,0.35,0.0741
TRIAD-LSI,0.40,0.0702
TRIAD-LSI,0.45,0.0622
TRIAD-LSI,0.50,0.0586
TRIAD-LSI,0.55,0.0566
TRIAD-LSI,0.60,0.0548
TRIAD-LSI,0.65,0.0508
TRIAD-LSI,0.70,0.0452
TRIAD-LSI,0.75,0.0444
TRIAD-LSI,0.80,0.0431
TRIAD-LSI,0.85,0.0407
TRIAD-LSI,0.90,0.0384
TRIAD-LSI,0.95,0.0379
TRIAD-LSI,1.00,0.0370
IR-ONLY-JSD,0.05,0.0723
IR-ONLY-JSD,0.10,0.0457
IR-ONLY-JSD,0.15,0.0447
IR-ONLY-JSD,0.20,0.0447
IR-ONLY-JSD,0.25,0.0447
IR-ONLY-JSD,0.30,0.0447
IR-ONLY-JSD,0.35,0.0447
IR-ONLY-JSD,0.40,0.0447
IR-ONLY-JSD,0.45,0.0447
IR-ONLY-JSD,0.50,0.0447
IR-ONLY-JSD,0.55,0.0447
IR-ONLY-JSD,0.60,0.0447
IR-ONLY-JSD,0.65,0.0442
IR-ONLY-JSD,0.70,0.0442
IR-ONLY-JSD,0.75,0.0442
IR-ONLY-JSD,0.80,0.0442
IR-ONLY-JSD,0.85,0.0395
IR-ONLY-JSD,0.90,0.0393
IR-ONLY-JSD,0.95,0.0382
IR-ONLY-JSD,1.00,0.0370
TRIAD-JSD,0.05,0.0511
TRIAD-JSD,0.10,0.0461
TRIAD-JSD,0.15,0.0461
TRIAD-JSD,0.20,0.0461
TRIAD-JSD,0.25,0.0461
TRIAD-JSD,0.30,0.0461
TRIAD-JSD,0.35,0.0461
TRIAD-JSD,0.40,0.0461
TRIAD-JSD,0.45,0.0461
TRIAD-JSD,0.50,0.0461
TRIAD-JSD,0.55,0.0461
TRIAD-JSD,0.60,0.0461
TRIAD-JSD,0.65,0.0454
TRIAD-JSD,0.70,0.0432
TRIAD-JSD,0.75,0.0410
TRIAD-JSD,0.80,0.0397
TRIAD-JSD,0.85,0.0379
TRIAD-JSD,0.90,0.0379
TRIAD-JSD,0.95,0.0379
TRIAD-JSD,1.00,0.0376
