Approach,Recall,Precision
IR-ONLY-VSM,0.05,0.3559
IR-ONLY-VSM,0.10,0.2985
IR-ONLY-VSM,0.15,0.2362
IR-ONLY-VSM,0.20,0.1885
IR-ONLY-VSM,0.25,0.1542
IR-ONLY-VSM,0.30,0.1232
IR-ONLY-VSM,0.35,0.1113
IR-ONLY-VSM,0.40,0.0871
IR-ONLY-VSM,0.45,0.0724
IR-ONLY-VSM,0.50,0.0629
IR-ONLY-VSM,0.55,0.0493
IR-ONLY-VSM,0.60,0.0440
IR-ONLY-VSM,0.65,0.0384
IR-ONLY-VSM,0.70,0.0296
IR-ONLY-VSM,0.75,0.0271
IR-ONLY-VSM,0.80,0.0260
IR-ONLY-VSM,0.85,0.0230
IR-ONLY-VSM,0.90,0.0230
IR-ONLY-VSM,0.95,0.0172
IR-ONLY-VSM,1.00,0.0149
TRIAD-VSM,0.05,0.4167
TRIAD-VSM,0.10,0.3448
TRIAD-VSM,0.15,0.2346
TRIAD-VSM,0.20,0.1824
TRIAD-VSM,0.25,0.1462
TRIAD-VSM,0.30,0.1308
TRIAD-VSM,0.35,0.1053
TRIAD-VSM,0.40,0.0905
TRIAD-VSM,0.45,0.0753
TRIAD-VSM,0.50,0.0661
TRIAD-VSM,0.55,0.0584
TRIAD-VSM,0.60,0.0540
TRIAD-VSM,0.65,0.0455
TRIAD-VSM,0.70,0.0395
TRIAD-VSM,0.75,0.0344
TRIAD-VSM,0.80,0.0305
TRIAD-VSM,0.85,0.0273
TRIAD-VSM,0.90,0.0246
TRIAD-VSM,0.95,0.0209
TRIAD-VSM,1.00,0.0160
IR-ONLY-LSI,0.05,0.4079
IR-ONLY-LSI,0.10,0.3832
IR-ONLY-LSI,0.15,0.2444
IR-ONLY-LSI,0.20,0.1888
IR-ONLY-LSI,0.25,0.1583
IR-ONLY-LSI,0.30,0.1337
IR-ONLY-LSI,0.35,0.0995
IR-ONLY-LSI,0.40,0.0962
IR-ONLY-LSI,0.45,0.0857
IR-ONLY-LSI,0.50,0.0705
IR-ONLY-LSI,0.55,0.0454
IR-ONLY-LSI,0.60,0.0420
IR-ONLY-LSI,0.65,0.0340
IR-ONLY-LSI,0.70,0.0313
IR-ONLY-LSI,0.75,0.0294
IR-ONLY-LSI,0.80,0.0251
IR-ONLY-LSI,0.85,0.0226
IR-ONLY-LSI,0.90,0.0200
IR-ONLY-LSI,0.95,0.0176
IR-ONLY-LSI,1.00,0.0149
TRIAD-LSI,0.05,0.3896
