Approach,Recall,Precision
IR-ONLY-VSM,0.05,0.9091
IR-ONLY-VSM,0.10,0.9091
IR-ONLY-VSM,0.15,0.8947
IR-ONLY-VSM,0.20,0.7838
IR-ONLY-VSM,0.25,0.7838
IR-ONLY-VSM,0.30,0.7838
IR-ONLY-VSM,0.35,0.7778
IR-ONLY-VSM,0.40,0.7778
IR-ONLY-VSM,0.45,0.7778
IR-ONLY-VSM,0.50,0.7705
IR-ONLY-VSM,0.55,0.7429
IR-ONLY-VSM,0.60,0.6941
IR-ONLY-VSM,0.65,0.6778
IR-ONLY-VSM,0.70,0.6111
IR-ONLY-VSM,0.75,0.5785
IR-ONLY-VSM,0.80,0.5068
IR-ONLY-VSM,0.85,0.4000
IR-ONLY-VSM,0.90,0.2270
IR-ONLY-VSM,0.95,0.1705
IR-ONLY-VSM,1.00,0.1137
TRIAD-VSM,0.05,1.0000
TRIAD-VSM,0.10,0.9231
TRIAD-VSM,0.15,0.9048
TRIAD-VSM,0.20,0.9048
TRIAD-VSM,0.25,0.8000
TRIAD-VSM,0.30,0.7949
TRIAD-VSM,0.35,0.7778
TRIAD-VSM,0.40,0.7778
TRIAD-VSM,0.45,0.7778
TRIAD-VSM,0.50,0.7705
TRIAD-VSM,0.55,0.7429
TRIAD-VSM,0.60,0.6905
TRIAD-VSM,0.65,0.6778
TRIAD-VSM,0.70,0.6111
TRIAD-VSM,0.75,0.5833
TRIAD-VSM,0.80,0.5172
TRIAD-VSM,0.85,0.4908
TRIAD-VSM,0.90,0.3700
TRIAD-VSM,0.95,0.2853
TRIAD-VSM,1.00,0.1632
IR-ONLY-LSI,0.05,0.7273
IR-ONLY-LSI,0.10,0.7273
IR-ONLY-LSI,0.15,0.7273
IR-ONLY-LSI,0.20,0.7143
IR-ONLY-LSI,0.25,0.6857
IR-ONLY-LSI,0.30,0.6857
IR-ONLY-LSI,0.35,0.6857
IR-ONLY-LSI,0.40,0.6857
IR-ONLY-LSI,0.45,0.6857
IR-ONLY-LSI,0.50,0.6857
IR-ONLY-LSI,0.55,0.6420
IR-ONLY-LSI,0.60,0.6364
IR-ONLY-LSI,0.65,0.6095
IR-ONLY-LSI,0.70,0.5500
IR-ONLY-LSI,0.75,0.5344
IR-ONLY-LSI,0.80,0.5034
IR-ONLY-LSI,0.85,0.3727
IR-ONLY-LSI,0.90,0.2601
IR-ONLY-LSI,0.95,0.1820
IR-ONLY-LSI,1.00,0.1507
TRIAD-LSI,0.05,0.7391
TRIAD-LSI,0.10,0.7391
TRIAD-LSI,0.15,0.7391
TRIAD-LSI,0.20,0.7333
TRIAD-LSI,0.25,0.6944
TRIAD-LSI,0.30,0.6944
TRIAD-LSI,0.35,0.6944
TRIAD-LSI,0.40,0.6944
TRIAD-LSI,0.45,0.6944
TRIAD-LSI,0.50,0.6944
TRIAD-LSI,0.55,0.6753
TRIAD-LSI,0.60,0.6437
TRIAD-LSI,0.65,0.6095
TRIAD-LSI,0.70,0.5500
TRIAD-LSI,0.75,0.5344
TRIAD-LSI,0.80,0.5034
TRIAD-LSI,0.85,0.3727
TRIAD-LSI,0.90,0.2585
TRIAD-LSI,0.95,0.1784
TRIAD-LSI,1.00,0.1566
IR-ONLY-JSD,0.05,0.6429
IR-ONLY-JSD,0.10,0.6316
IR-ONLY-JSD,0.15,0.5714
IR-ONLY-JSD,0.20,0.5714
IR-ONLY-JSD,0.25,0.5714
IR-ONLY-JSD,0.30,0.5714
IR-ONLY-JSD,0.35,0.5522
IR-ONLY-JSD,0.40,0.5507
IR-ONLY-JSD,0.45,0.4690
IR-ONLY-JSD,0.50,0.4690
IR-ONLY-JSD,0.55,0.4690
IR-ONLY-JSD,0.60,0.4380
IR-ONLY-JSD,0.65,0.4145
IR-ONLY-JSD,0.70,0.3472
IR-ONLY-JSD,0.75,0.3142
IR-ONLY-JSD,0.80,0.2778
IR-ONLY-JSD,0.85,0.2432
IR-ONLY-JSD,0.90,0.2159
IR-ONLY-JSD,0.95,0.1664
IR-ONLY-JSD,1.00,0.1050
TRIAD-JSD,0.05,0.7143
TRIAD-JSD,0.10,0.6667
TRIAD-JSD,0.15,0.5926
TRIAD-JSD,0.20,0.5854
TRIAD-JSD,0.25,0.5854
TRIAD-JSD,0.30,0.5600
TRIAD-JSD,0.35,0.5410
TRIAD-JSD,0.40,0.5342
TRIAD-JSD,0.45,0.5102
TRIAD-JSD,0.50,0.5102
TRIAD-JSD,0.55,0.4771
TRIAD-JSD,0.60,0.4375
TRIAD-JSD,0.65,0.4122
TRIAD-JSD,0.70,0.3548
TRIAD-JSD,0.75,0.3256
TRIAD-JSD,0.80,0.3099
TRIAD-JSD,0.85,0.2632
TRIAD-JSD,0.90,0.2159
TRIAD-JSD,0.95,0.1805
TRIAD-JSD,1.00,0.1396
