supports assignment:obj [DD-638 - RE-637]
assigned uav:nsubj:pass [DD-614 - RE-646]
assigned uav:nsubj:pass [DD-613 - RE-656]
assignment description:appos [DD-550 - RE-549]
assigned uav:nsubj:pass [DD-614 - RE-649]
plan executing:amod [DD-33 - RE-28]
support vehiclecore:nsubj [DD-575 - RE-574]
route description:appos [DD-674 - RE-646]
route description:appos [DD-673 - RE-656]
support vehiclecore:nsubj [DD-575 - RE-576]
summary description:dep [DD-560 - RE-679]
assignment description:appos [DD-550 - RE-551]
specified routes:nsubj:pass [DD-502 - RE-508]
meters simulation_step_size:compound [DD-606 - RE-595]
assign route:obl [DD-638 - RE-551]
assigned uav:nsubj:pass [DD-614 - RE-656]
routes assigned:amod [DD-657 - RE-549]
plan flight:compound [DD-530 - RE-656]
compute distance:obj [DD-528 - RE-516]
reaches waypoint:obj [DD-81 - RE-555]
plan flight:compound [DD-520 - RE-759]
connect gcs:nsubj [DD-710 - RE-709]
list routes:nmod [DD-168 - RE-679]
assigned uav:obl [DD-657 - RE-25]
route description:appos [DD-674 - RE-656]
plan flight:compound [DD-578 - RE-656]
summary description:dep [DD-692 - RE-691]
reaches waypoint:obj [DD-81 - RE-101]
plan flight:compound [DD-530 - RE-689]
assigned uav:obl [DD-537 - RE-100]
specified be:aux:pass [DD-23 - RE-77]
summary follow:dep [DD-697 - RE-714]
routes assigned:amod [DD-657 - RE-551]
assigned uav:obl [DD-654 - RE-25]
change message:obj [DD-500 - RE-722]
plan executing:amod [DD-556 - RE-101]
active is:cop [DD-697 - RE-545]
location uav:compound [DD-121 - RE-595]
reached have:aux [DD-538 - RE-555]
plan flight:compound [DD-578 - RE-689]
summary description:dep [DD-560 - RE-691]
plan flight:compound [DD-578 - RE-28]
specified be:aux:pass [DD-24 - RE-77]
waypoint plan:nmod [DD-81 - RE-80]
routes existing:amod [DD-168 - RE-679]
route description:appos [DD-673 - RE-646]
plan flight:compound [DD-530 - RE-28]
plan flight:compound [DD-87 - RE-759]
assigned uav:obl [DD-658 - RE-646]
assigned uav:obl [DD-657 - RE-656]
longitude latitude:conj [DD-599 - RE-77]
deactivated uav:nsubj:pass [DD-588 - RE-587]
assigned uav:obl [DD-658 - RE-649]
summary transition:dep [DD-580 - RE-8]
