Source,Target,Score
RE-510,Command,1.0445
RE-574,Command,1.0203
RE-576,Command,1.0170
RE-596,Command,0.9455
RE-594,Command,0.9011
RE-510,CoordinateChange,0.8746
RE-630,Command,0.8292
RE-551,Command,0.8185
RE-574,CoordinateChange,0.8083
RE-549,Command,0.7994
RE-576,CoordinateChange,0.7967
RE-594,CoordinateChange,0.7523
RE-596,CoordinateChange,0.7472
RE-551,CoordinateChange,0.7250
RE-101,Command,0.7146
RE-101,CoordinateChange,0.7146
RE-637,Command,0.7002
RE-637,CoordinateChange,0.7002
RE-630,CoordinateChange,0.7000
RE-549,CoordinateChange,0.6867
RE-114,Command,0.6828
RE-114,CoordinateChange,0.6828
RE-649,Command,0.6819
RE-649,CoordinateChange,0.6819
RE-555,Command,0.6793
RE-555,CoordinateChange,0.6793
RE-611,Command,0.6545
RE-672,Command,0.6522
RE-672,CoordinateChange,0.6522
RE-679,Command,0.6494
RE-679,CoordinateChange,0.6494
RE-634,Command,0.6357
RE-634,CoordinateChange,0.6357
RE-759,Command,0.6342
RE-759,CoordinateChange,0.6342
RE-656,Command,0.6267
RE-656,CoordinateChange,0.6267
RE-587,Command,0.6252
RE-587,CoordinateChange,0.6252
RE-28,Command,0.6216
RE-28,CoordinateChange,0.6216
RE-616,Command,0.6200
RE-691,Command,0.6192
RE-691,CoordinateChange,0.6192
RE-508,Command,0.6129
RE-508,CoordinateChange,0.6129
RE-611,CoordinateChange,0.6129
RE-722,Command,0.6119
RE-628,Command,0.6088
RE-628,CoordinateChange,0.6088
RE-100,Command,0.6078
RE-100,CoordinateChange,0.6078
RE-80,Command,0.6074
RE-80,CoordinateChange,0.6074
RE-595,Command,0.6034
RE-595,CoordinateChange,0.6034
RE-597,Command,0.5951
RE-103,Command,0.5911
RE-103,CoordinateChange,0.5911
RE-701,Command,0.5876
RE-701,CoordinateChange,0.5876
RE-77,Command,0.5862
RE-77,CoordinateChange,0.5862
RE-722,CoordinateChange,0.5845
RE-626,Command,0.5837
RE-626,CoordinateChange,0.5837
RE-589,Command,0.5815
RE-589,CoordinateChange,0.5815
RE-501,Command,0.5813
RE-501,CoordinateChange,0.5813
RE-616,CoordinateChange,0.5809
RE-505,Command,0.5807
RE-505,CoordinateChange,0.5807
RE-709,Command,0.5752
RE-709,CoordinateChange,0.5752
RE-597,CoordinateChange,0.5745
RE-547,Command,0.5742
RE-547,CoordinateChange,0.5742
RE-677,Command,0.5723
RE-677,CoordinateChange,0.5723
RE-681,Command,0.5702
RE-681,CoordinateChange,0.5702
RE-25,Command,0.5691
RE-25,CoordinateChange,0.5691
RE-706,Command,0.5677
RE-706,CoordinateChange,0.5677
RE-639,Command,0.5645
RE-639,CoordinateChange,0.5645
RE-729,Command,0.5627
RE-766,Command,0.5622
RE-766,CoordinateChange,0.5622
RE-8,Command,0.5614
RE-545,Command,0.5614
RE-545,CoordinateChange,0.5614
RE-646,Command,0.5607
RE-646,CoordinateChange,0.5607
RE-424,Command,0.5569
RE-424,CoordinateChange,0.5569
RE-695,Command,0.5562
RE-695,CoordinateChange,0.5562
RE-689,Command,0.5527
RE-689,CoordinateChange,0.5527
RE-643,Command,0.5526
RE-643,CoordinateChange,0.5526
RE-693,Command,0.5517
RE-693,CoordinateChange,0.5517
RE-8,CoordinateChange,0.5510
RE-36,Command,0.5502
RE-36,CoordinateChange,0.5502
RE-729,CoordinateChange,0.5490
RE-714,Command,0.5407
RE-714,CoordinateChange,0.5407
RE-516,Command,0.5366
RE-516,CoordinateChange,0.5366
RE-541,Command,0.5246
RE-541,CoordinateChange,0.5246
RE-424,ExportRoutePrimitive,0.5000
RE-424,PhysicalDroneTest,0.5000
RE-424,CoverageStatistics,0.5000
RE-424,MAVLinkUAVConnector,0.5000
RE-424,IStartstrategy,0.5000
RE-424,RouteSelector,0.5000
RE-424,RouteCreationRunner,0.5000
RE-424,UAVStateChangeMessage,0.5000
RE-424,IRemotable,0.5000
RE-424,ExportDroneRouteAssignment,0.5000
RE-424,UAVPlanChangeMessage,0.5000
RE-424,MonitoringFrequencyAdaptor,0.5000
RE-424,RemoteInfoFactory,0.5000
