Source,Target,Score
RE-549,SimpleTakeoffFlightPlan,2.2929
RE-551,SimpleTakeoffFlightPlan,2.0403
RE-80,SimpleTakeoffFlightPlan,2.0066
RE-594,NedCommand,1.7635
RE-759,UAVListenerManager,1.7627
RE-759,UAVRegistrationService,1.7268
RE-100,SimpleTakeoffFlightPlan,1.6765
RE-28,SimpleTakeoffFlightPlan,1.6344
RE-508,SimpleTakeoffFlightPlan,1.5964
RE-639,FullMissionPlan,1.4728
RE-639,SynchronizationManager,1.4653
RE-646,SimpleTakeoffFlightPlan,1.4082
RE-80,FlightPlan,1.3782
RE-616,GoToCommand,1.3777
RE-549,FlightPlan,1.3533
RE-555,SimpleTakeoffFlightPlan,1.2823
RE-101,GoToCommand,1.2597
RE-759,FlightRouteplanningService,1.2543
RE-714,GroundstationConnector,1.2397
RE-596,NedCommand,1.2286
RE-101,EmergencyStopCommand,1.2225
RE-508,FullMissionPlan,1.2186
RE-551,FlightPlan,1.2169
RE-114,PlanPool,1.1801
RE-729,GoToCommand,1.1740
RE-596,NvecInterpolator,1.1692
RE-28,FlightPlan,1.1250
RE-759,FullMissionPlan,1.1219
RE-611,GoToCommand,1.1129
RE-681,GoToCommand,1.1082
RE-501,SimpleTakeoffFlightPlan,1.1041
RE-729,EmergencyStopCommand,1.0870
RE-25,AbstractDroneCommand,1.0796
RE-722,PlanPool,1.0487
RE-541,SimpleTakeoffFlightPlan,1.0215
RE-424,FullMissionPlan,1.0053
RE-646,FlightPlan,1.0036
RE-689,PlanPool,1.0034
RE-626,PlanPool,1.0023
RE-100,FlightPlan,0.9976
RE-541,FullMissionPlan,0.9966
RE-729,TakeoffCommand,0.9961
RE-589,FlightSimulator,0.9954
RE-103,GoToCommand,0.9949
RE-589,NVECSimulator,0.9928
RE-508,SimulatorScenario,0.9928
RE-508,IFlightRoute,0.9892
RE-508,ISimulatorScenario,0.9889
RE-508,FlightRoute,0.9865
RE-424,FlightInfoCreator,0.9851
RE-424,IPlanStatusChangeListener,0.9820
RE-424,PlanPoolManager,0.9802
RE-424,IItemChangeListener,0.9800
RE-595,NvecInterpolator,0.9799
RE-616,EmergencyStopCommand,0.9794
RE-424,AreaMappingServiceRemoteFacade,0.9786
RE-424,DronologyListenerManager,0.9777
RE-541,StatusDispatchThread,0.9771
RE-589,NvecInterpolator,0.9770
RE-424,FlightRouteplanningServiceRemoteFacade,0.9767
RE-424,DroneSetupServiceRemoteFacade,0.9764
RE-424,IDroneStatusChangeListener,0.9763
RE-681,IItemChangeListener,0.9761
RE-681,IPlanStatusChangeListener,0.9761
RE-639,MissionElementFactory,0.9742
RE-508,FlightRouteInfo,0.9740
RE-8,SyncTask,0.9730
RE-424,IDronologyChangeListener,0.9730
RE-424,FlightRoutePersistenceProvider,0.9728
RE-681,DronologyListenerManager,0.9722
RE-424,AreaMappingPersistenceProvider,0.9722
RE-587,FlightInfoCreator,0.9719
RE-759,DronologySeriviceListener,0.9719
RE-689,FlightInfoCreator,0.9718
RE-594,SimpleTakeoffFlightPlan,0.9714
RE-103,PlanPoolManager,0.9707
RE-681,IDronologyChangeListener,0.9704
RE-681,AreaMappingServiceRemoteFacade,0.9703
RE-681,IDroneStatusChangeListener,0.9702
RE-693,DronologySeriviceListener,0.9696
RE-424,MissionPlanningPersistenceProvider,0.9694
RE-424,IMonitoringDataHandler,0.9694
RE-681,FlightInfoCreator,0.9692
RE-424,IManagedDroneStateChangeListener,0.9690
RE-103,FlightInfoCreator,0.9681
RE-681,FlightRoutePersistenceProvider,0.9676
RE-103,EmergencyStopCommand,0.9664
RE-681,AreaMappingPersistenceProvider,0.9663
RE-424,UAVRegistrationPersistenceProvider,0.9660
RE-681,FlightRouteplanningServiceRemoteFacade,0.9657
RE-424,FlightInfo,0.9656
RE-689,PlanPoolManager,0.9654
RE-424,SearchConstants,0.9653
RE-424,DronologyElementFactory,0.9653
RE-424,UAVRegistrationServiceRemoteFacade,0.9648
RE-681,DroneSetupServiceRemoteFacade,0.9647
RE-681,IMonitoringDataHandler,0.9643
RE-424,DronologyMonitoringManager,0.9638
RE-587,PlanPoolManager,0.9637
