Approach,Recall,Precision
IR-ONLY-VSM,0.05,1.0000
IR-ONLY-VSM,0.10,0.8333
IR-ONLY-VSM,0.15,0.8000
IR-ONLY-VSM,0.20,0.6364
IR-ONLY-VSM,0.25,0.6364
IR-ONLY-VSM,0.30,0.6364
IR-ONLY-VSM,0.35,0.2909
IR-ONLY-VSM,0.40,0.2468
IR-ONLY-VSM,0.45,0.1314
IR-ONLY-VSM,0.50,0.1314
IR-ONLY-VSM,0.55,0.1016
IR-ONLY-VSM,0.60,0.1007
IR-ONLY-VSM,0.65,0.0938
IR-ONLY-VSM,0.70,0.0932
IR-ONLY-VSM,0.75,0.0887
IR-ONLY-VSM,0.80,0.0887
IR-ONLY-VSM,0.85,0.0635
IR-ONLY-VSM,0.90,0.0635
IR-ONLY-VSM,0.95,0.0635
IR-ONLY-VSM,1.00,0.0635
TRIAD-VSM,0.05,0.8000
TRIAD-VSM,0.10,0.6667
TRIAD-VSM,0.15,0.6667
TRIAD-VSM,0.20,0.6000
TRIAD-VSM,0.25,0.3043
TRIAD-VSM,0.30,0.3043
TRIAD-VSM,0.35,0.2192
TRIAD-VSM,0.40,0.2093
TRIAD-VSM,0.45,0.1964
TRIAD-VSM,0.50,0.1840
TRIAD-VSM,0.55,0.1471
TRIAD-VSM,0.60,0.0894
TRIAD-VSM,0.65,0.0811
TRIAD-VSM,0.70,0.0811
TRIAD-VSM,0.75,0.0811
TRIAD-VSM,0.80,0.0753
TRIAD-VSM,0.85,0.0730
TRIAD-VSM,0.90,0.0701
TRIAD-VSM,0.95,0.0546
TRIAD-VSM,1.00,0.0546
IR-ONLY-LSI,0.05,1.0000
IR-ONLY-LSI,0.10,0.8333
IR-ONLY-LSI,0.15,0.2593
IR-ONLY-LSI,0.20,0.2500
IR-ONLY-LSI,0.25,0.2453
IR-ONLY-LSI,0.30,0.1839
IR-ONLY-LSI,0.35,0.1839
IR-ONLY-LSI,0.40,0.1712
IR-ONLY-LSI,0.45,0.1615
IR-ONLY-LSI,0.50,0.1465
IR-ONLY-LSI,0.55,0.1458
IR-ONLY-LSI,0.60,0.1458
IR-ONLY-LSI,0.65,0.1255
IR-ONLY-LSI,0.70,0.1236
IR-ONLY-LSI,0.75,0.1133
IR-ONLY-LSI,0.80,0.1003
IR-ONLY-LSI,0.85,0.0905
IR-ONLY-LSI,0.90,0.0769
IR-ONLY-LSI,0.95,0.0692
IR-ONLY-LSI,1.00,0.0661
TRIAD-LSI,0.05,1.0000
TRIAD-LSI,0.10,0.7143
TRIAD-LSI,0.15,0.4667
TRIAD-LSI,0.20,0.3913
TRIAD-LSI,0.25,0.3095
TRIAD-LSI,0.30,0.2456
TRIAD-LSI,0.35,0.2048
TRIAD-LSI,0.40,0.2045
TRIAD-LSI,0.45,0.1818
TRIAD-LSI,0.50,0.1597
TRIAD-LSI,0.55,0.1456
TRIAD-LSI,0.60,0.1456
TRIAD-LSI,0.65,0.1456
TRIAD-LSI,0.70,0.1245
TRIAD-LSI,0.75,0.1156
TRIAD-LSI,0.80,0.0933
TRIAD-LSI,0.85,0.0886
TRIAD-LSI,0.90,0.0768
TRIAD-LSI,0.95,0.0690
TRIAD-LSI,1.00,0.0622
IR-ONLY-JSD,0.05,0.7500
IR-ONLY-JSD,0.10,0.6667
IR-ONLY-JSD,0.15,0.6667
IR-ONLY-JSD,0.20,0.6667
IR-ONLY-JSD,0.25,0.6667
IR-ONLY-JSD,0.30,0.3590
IR-ONLY-JSD,0.35,0.2286
IR-ONLY-JSD,0.40,0.2258
IR-ONLY-JSD,0.45,0.2258
IR-ONLY-JSD,0.50,0.2255
IR-ONLY-JSD,0.55,0.1894
IR-ONLY-JSD,0.60,0.1505
IR-ONLY-JSD,0.65,0.1402
IR-ONLY-JSD,0.70,0.1231
IR-ONLY-JSD,0.75,0.1107
IR-ONLY-JSD,0.80,0.0914
IR-ONLY-JSD,0.85,0.0783
IR-ONLY-JSD,0.90,0.0709
IR-ONLY-JSD,0.95,0.0588
IR-ONLY-JSD,1.00,0.0588
TRIAD-JSD,0.05,0.8000
TRIAD-JSD,0.10,0.6667
TRIAD-JSD,0.15,0.6667
TRIAD-JSD,0.20,0.6667
TRIAD-JSD,0.25,0.6316
TRIAD-JSD,0.30,0.6087
TRIAD-JSD,0.35,0.5517
TRIAD-JSD,0.40,0.3830
TRIAD-JSD,0.45,0.3333
TRIAD-JSD,0.50,0.2584
TRIAD-JSD,0.55,0.2451
TRIAD-JSD,0.60,0.2071
TRIAD-JSD,0.65,0.1923
TRIAD-JSD,0.70,0.1468
TRIAD-JSD,0.75,0.1083
TRIAD-JSD,0.80,0.1023
TRIAD-JSD,0.85,0.0782
TRIAD-JSD,0.90,0.0643
TRIAD-JSD,0.95,0.0616
TRIAD-JSD,1.00,0.0585
