Project,Approach,Precision,Recall,F1,MAP
Warc,IR-ONLY-VSM,0.0510,1.0000,0.0971,0.2467
Warc,TRIAD-VSM,0.0510,1.0000,0.0971,0.2875
Warc,IR-ONLY-LSI,0.0510,1.0000,0.0971,0.2524
Warc,TRIAD-LSI,0.0510,1.0000,0.0971,0.2594
Warc,IR-ONLY-JSD,0.0510,1.0000,0.0971,0.2543
Warc,TRIAD-JSD,0.0510,1.0000,0.0971,0.2899
Dronology,IR-ONLY-VSM,0.0148,1.0000,0.0291,0.2415
Dronology,TRIAD-VSM,0.0148,1.0000,0.0291,0.2515
Dronology,IR-ONLY-LSI,0.0148,1.0000,0.0291,0.2109
Dronology,TRIAD-LSI,0.0148,1.0000,0.0291,0.2224
Dronology,IR-ONLY-JSD,0.0148,1.0000,0.0291,0.0779
Dronology,TRIAD-JSD,0.0148,1.0000,0.0291,0.0808
LibEST,IR-ONLY-VSM,0.0000,0.0000,0.0000,0.0000
LibEST,TRIAD-VSM,0.0000,0.0000,0.0000,0.0000
LibEST,IR-ONLY-LSI,0.0000,0.0000,0.0000,0.0000
LibEST,TRIAD-LSI,0.0000,0.0000,0.0000,0.0000
LibEST,IR-ONLY-JSD,0.0000,0.0000,0.0000,0.0000
LibEST,TRIAD-JSD,0.0000,0.0000,0.0000,0.0000
Dronology-Original-Preproc,IR-ONLY-VSM,0.0368,1.0000,0.0710,0.2218
Dronology-Original-Preproc,TRIAD-VSM,0.0368,1.0000,0.0710,0.2337
Dronology-Original-Preproc,IR-ONLY-LSI,0.0368,1.0000,0.0710,0.1955
Dronology-Original-Preproc,TRIAD-LSI,0.0368,1.0000,0.0710,0.2040
Dronology-Original-Preproc,IR-ONLY-JSD,0.0368,1.0000,0.0710,0.0910
Dronology-Original-Preproc,TRIAD-JSD,0.0368,1.0000,0.0710,0.0797
EasyClinic,IR-ONLY-VSM,0.0660,1.0000,0.1238,0.7193
EasyClinic,TRIAD-VSM,0.0660,1.0000,0.1238,0.7476
EasyClinic,IR-ONLY-LSI,0.0660,1.0000,0.1238,0.6760
EasyClinic,TRIAD-LSI,0.0660,1.0000,0.1238,0.6825
EasyClinic,IR-ONLY-JSD,0.0660,1.0000,0.1238,0.5635
EasyClinic,TRIAD-JSD,0.0660,1.0000,0.1238,0.5935
Warc,IR-ONLY-VSM,0.0510,1.0000,0.0971,0.2467
Warc,TRIAD-VSM,0.0510,1.0000,0.0971,0.2875
Warc,IR-ONLY-LSI,0.0510,1.0000,0.0971,0.2524
Warc,TRIAD-LSI,0.0510,1.0000,0.0971,0.2594
Warc,IR-ONLY-JSD,0.0510,1.0000,0.0971,0.2543
Warc,TRIAD-JSD,0.0510,1.0000,0.0971,0.2899
Dronology,IR-ONLY-VSM,0.0148,1.0000,0.0291,0.2415
Dronology,TRIAD-VSM,0.0148,1.0000,0.0291,0.2515
Dronology,IR-ONLY-LSI,0.0148,1.0000,0.0291,0.2109
Dronology,TRIAD-LSI,0.0148,1.0000,0.0291,0.2224
Dronology,IR-ONLY-JSD,0.0148,1.0000,0.0291,0.0779
Dronology,TRIAD-JSD,0.0148,1.0000,0.0291,0.0808
LibEST,IR-ONLY-VSM,0.0000,0.0000,0.0000,0.0000
LibEST,TRIAD-VSM,0.0000,0.0000,0.0000,0.0000
LibEST,IR-ONLY-LSI,0.0000,0.0000,0.0000,0.0000
LibEST,TRIAD-LSI,0.0000,0.0000,0.0000,0.0000
LibEST,IR-ONLY-JSD,0.0000,0.0000,0.0000,0.0000
LibEST,TRIAD-JSD,0.0000,0.0000,0.0000,0.0000
Dronology-Original-Preproc,IR-ONLY-VSM,0.0368,1.0000,0.0710,0.2218
Dronology-Original-Preproc,TRIAD-VSM,0.0368,1.0000,0.0710,0.2337
Dronology-Original-Preproc,IR-ONLY-LSI,0.0368,1.0000,0.0710,0.1955
Dronology-Original-Preproc,TRIAD-LSI,0.0368,1.0000,0.0710,0.2040
Dronology-Original-Preproc,IR-ONLY-JSD,0.0368,1.0000,0.0710,0.0910
Dronology-Original-Preproc,TRIAD-JSD,0.0368,1.0000,0.0710,0.0797
EasyClinic,IR-ONLY-VSM,0.0660,1.0000,0.1238,0.7193
EasyClinic,TRIAD-VSM,0.0660,1.0000,0.1238,0.7476
EasyClinic,IR-ONLY-LSI,0.0660,1.0000,0.1238,0.6760
EasyClinic,TRIAD-LSI,0.0660,1.0000,0.1238,0.6825
EasyClinic,IR-ONLY-JSD,0.0660,1.0000,0.1238,0.5635
EasyClinic,TRIAD-JSD,0.0660,1.0000,0.1238,0.5935
